Season,RANK,REFEREE,TYPE,EXPERIENCE (YEARS),GAMES OFFICIATED,HOME TEAM WIN%,HOME TEAM POINTS DIFFERENTIAL,TOTAL POINTS PER GAME,CALLED FOULS PER GAME,FOUL% AGAINST ROAD TEAMS,FOUL% AGAINST HOME TEAMS,"[css3_tooltip header='Foul Differential Per Game' width='400px' content='Season average of {Called Fouls Against Road Team} - {Called Fouls Against Home Team}. When foul differential is in positive figure, that referee (a.k.a. homey) favors home teams and is more prone to call against road teams.' position='left' tag='a' style='style_33' delay='0' cursor='pointer' event='hover' ]FOUL DIFFERENTIAL[/css3_tooltip]"
2018-2019,,Mitchell Ervin,CREW,4,58,0.603,2.3,226.2,45.7,49.5,50.4,-0.4
2018-2019,,Kane Fitzgerald,CREW,9,50,0.68,3.2,224.0,42.0,50.6,49.3,0.5
2018-2019,,Kane Fitzgerald,MAIN,9,14,0.5,2.3,216.9,42.2,48.4,51.6,-1.4
2018-2019,,Tyler Ford,CREW,4,64,0.641,4.3,224.1,42.0,51.0,49.0,0.8
2018-2019,,Brian Forte,CREW,12,51,0.627,4.5,218.7,41.5,50.3,49.7,0.2
2018-2019,,Brian Forte,MAIN,12,13,0.385,1.9,219.0,42.7,50.8,49.2,0.7
2018-2019,,Scott Foster,CREW,24,1,0.0,-1.0,225.0,44.0,56.8,43.2,6.0
2018-2019,,Scott Foster,MAIN,24,63,0.683,4.5,221.4,42.2,50.4,49.7,0.3
2018-2019,,Pat Fraher,CREW,23,25,0.6,1.8,218.4,40.6,50.2,49.9,0.2
2018-2019,,Pat Fraher,MAIN,23,40,0.55,5.5,218.2,41.1,49.6,50.2,-0.3
2018-2019,,Ron Garretson,CREW,30,12,0.5,-1.1,213.1,41.0,52.4,47.6,2.0
2018-2019,,Ron Garretson,MAIN,30,48,0.625,3.6,216.1,39.0,52.2,47.7,1.8
2018-2019,,Jacyn Goble,CREW,2,49,0.551,3.6,228.5,44.7,50.8,49.2,0.7
2018-2019,,John Goble,CREW,11,40,0.575,2.9,223.3,41.4,51.0,49.0,0.9
2018-2019,,John Goble,MAIN,11,23,0.565,3.4,221.7,43.9,48.1,51.8,-1.6
2018-2019,,Jason Goldenberg,CREW,2,49,0.531,0.9,221.7,42.2,50.7,49.4,0.5
2018-2019,,Nate Green,CREW,0,9,0.222,-2.6,228.6,38.0,50.6,49.4,0.4
2018-2019,,David Guthrie,CREW,13,33,0.606,2.8,222.4,39.5,51.2,48.8,0.9
2018-2019,,David Guthrie,MAIN,13,28,0.571,1.3,228.5,42.2,48.8,51.2,-1.0
2018-2019,,Courtney Kirkland,CREW,19,31,0.548,2.9,218.4,41.3,50.6,49.3,0.5
2018-2019,,Courtney Kirkland,MAIN,19,30,0.567,1.8,220.0,41.8,50.6,49.3,0.6
2018-2019,,Marat Kogut,CREW,9,58,0.569,3.5,222.1,43.1,50.6,49.5,0.5
2018-2019,,Marat Kogut,MAIN,9,6,0.833,8.7,239.3,42.0,52.0,48.0,1.7
2018-2019,,Karl Lane,CREW,8,63,0.571,2.0,228.1,45.5,50.0,50.1,-0.1
2018-2019,,Karl Lane,MAIN,8,1,1.0,16.0,224.0,43.0,39.5,60.5,-9.0
2018-2019,,Eric Lewis,CREW,14,21,0.619,-2.5,222.1,44.4,51.3,48.7,1.1
2018-2019,,Eric Lewis,MAIN,14,42,0.548,0.1,222.1,42.5,52.1,48.0,1.8
2018-2019,,Mark Lindsay,CREW,11,55,0.564,0.4,224.9,41.7,50.5,49.6,0.4
2018-2019,,Mark Lindsay,MAIN,11,8,0.75,6.3,210.8,42.4,53.7,46.3,3.1
2018-2019,,Tre Maddox,CREW,8,60,0.65,4.0,223.5,41.0,50.2,49.8,0.2
2018-2019,,Ed Malloy,CREW,16,33,0.636,4.9,212.2,39.1,51.5,48.4,1.2
2018-2019,,Ed Malloy,MAIN,16,32,0.656,4.2,230.6,42.1,52.1,47.9,1.8
2018-2019,,Ken Mauer,CREW,30,3,1.0,15.3,226.7,39.3,45.0,55.1,-4.0
2018-2019,,Ken Mauer,MAIN,30,56,0.536,1.3,220.1,41.7,49.8,50.1,-0.1
2018-2019,,Rodney Mott,CREW,23,6,0.667,2.0,225.0,39.5,49.8,50.2,-0.2
2018-2019,,Rodney Mott,MAIN,23,58,0.621,3.3,221.4,41.3,49.1,50.8,-0.7
2018-2019,,Ashley Moyer-Gleich,CREW,0,31,0.645,4.6,215.1,39.0,52.4,47.6,1.8
2018-2019,,Matt Myers,CREW,7,33,0.636,3.3,224.6,40.9,50.2,49.8,0.2
2018-2019,,Brett Nansel,CREW,4,44,0.75,6.7,220.6,42.5,48.9,51.0,-0.9
2018-2019,,J.T. Orr,CREW,9,60,0.567,4.1,221.6,41.9,49.3,50.6,-0.6
2018-2019,,J.T. Orr,MAIN,9,1,0.0,-12.0,196.0,45.0,46.7,53.3,-3.0
2018-2019,,Gediminas Petraitis,CREW,4,64,0.672,4.3,218.0,41.1,48.6,51.5,-1.2
2018-2019,,Jason Phillips,CREW,23,15,0.733,5.3,225.1,41.8,51.8,48.2,1.5
2018-2019,,Jason Phillips,MAIN,23,48,0.604,2.0,226.9,41.8,50.2,49.7,0.2
2018-2019,,Phenizee Ransom,CREW,2,32,0.375,-3.6,221.2,42.4,49.2,50.9,-0.8
2018-2019,,Leroy Richardson,CREW,23,25,0.6,6.7,222.7,41.2,50.9,49.1,0.7
2018-2019,,Derek Richardson,CREW,23,14,0.5,-0.4,226.4,39.6,51.8,48.3,1.4
2018-2019,,Derek Richardson,MAIN,23,36,0.528,2.2,227.6,40.9,50.3,49.6,0.3
2018-2019,,Leroy Richardson,MAIN,23,27,0.593,1.5,223.7,40.5,49.6,50.5,-0.4
2018-2019,,Natalie Sago,CREW,0,31,0.548,2.8,217.9,42.0,51.5,48.5,1.3
2018-2019,,Evan Scott,CREW,0,10,0.5,5.5,220.5,41.0,53.7,46.3,3.0
2018-2019,,Kevin Scott,CREW,8,54,0.648,3.9,221.6,41.0,50.0,50.0,0.0
2018-2019,,Kevin Scott,MAIN,8,6,0.333,-8.2,222.2,42.8,50.2,49.8,0.2
2018-2019,,Aaron Smith,CREW,3,59,0.627,2.4,224.9,42.1,51.1,48.8,1.0
2018-2019,,Michael Smith,CREW,25,23,0.739,5.7,219.8,41.0,52.4,47.7,1.9
2018-2019,,Michael Smith,MAIN,25,33,0.455,-2.0,225.8,45.7,50.5,49.4,0.5
2018-2019,,Jonathan Sterling,CREW,1,46,0.63,-0.5,225.3,42.2,51.4,48.6,1.2
2018-2019,,Dedric Taylor,CREW,5,64,0.609,3.2,221.7,40.9,51.7,48.2,1.4
2018-2019,,Ben Taylor,CREW,7,63,0.619,4.3,224.1,42.6,50.0,49.9,0.1
2018-2019,,Ben Taylor,MAIN,7,1,1.0,2.0,208.0,38.0,47.4,52.6,-2.0
2018-2019,,Josh Tiven,CREW,9,45,0.6,2.0,223.8,41.7,50.9,49.2,0.7
2018-2019,,Josh Tiven,MAIN,9,19,0.421,-0.8,225.7,42.7,49.1,51.0,-0.8
2018-2019,,Scott Twardoski,CREW,9,62,0.677,7.5,225.6,42.5,50.2,49.8,0.2
2018-2019,,Scott Twardoski,MAIN,9,2,1.0,6.5,231.5,45.5,57.1,42.9,6.5
2018-2019,,Justin Van Duyne,CREW,5,49,0.714,6.0,217.0,39.8,52.1,48.0,1.6
2018-2019,,Scott Wall,CREW,23,19,0.579,4.9,219.8,43.6,49.7,50.2,-0.2
2018-2019,,Scott Wall,MAIN,23,37,0.405,-0.8,218.7,39.7,50.9,49.1,0.7
2018-2019,,CJ Washington,CREW,4,39,0.615,4.1,220.2,43.2,49.9,50.0,-0.1
2018-2019,,CJ Washington,MAIN,4,2,1.0,14.0,252.0,47.5,52.6,47.4,2.5
2018-2019,,Tom Washington,CREW,27,10,0.4,-1.0,222.4,39.7,47.6,52.4,-1.9
2018-2019,,Tom Washington,MAIN,27,50,0.56,3.2,222.1,42.6,50.5,49.4,0.5
2018-2019,,James Williams,CREW,9,63,0.571,1.7,226.3,42.3,49.7,50.2,-0.2
2018-2019,,Leon Wood,CREW,23,24,0.625,4.5,221.3,42.0,50.7,49.2,0.6
2018-2019,,Leon Wood,MAIN,23,29,0.552,-2.4,223.8,42.2,47.3,52.7,-2.3
2018-2019,,Haywoode Workman,CREW,10,44,0.636,3.0,224.9,41.5,50.2,49.9,0.1
2018-2019,,Haywoode Workman,MAIN,10,3,0.667,-4.3,243.0,36.3,49.6,50.5,-0.3
2018-2019,,Sean Wright,CREW,13,35,0.429,0.5,223.8,41.1,51.4,48.7,1.1
2018-2019,,Sean Wright,MAIN,13,29,0.69,3.9,226.1,44.6,50.0,49.9,0.1
2018-2019,,Zach Zarba,CREW,15,28,0.429,1.0,219.8,42.3,50.5,49.5,0.4
2018-2019,,Zach Zarba,MAIN,15,35,0.686,3.1,226.7,41.5,48.9,51.2,-0.9
