Season,RANK,REFEREE,ROLE,EXPERIENCE (YEARS),GAMES OFFICIATED,HOME TEAM WIN%,HOME TEAM POINTS DIFFERENTIAL,TOTAL POINTS PER GAME,CALLED FOULS PER GAME,FOUL% AGAINST ROAD TEAMS,FOUL% AGAINST HOME TEAMS,"[css3_tooltip header='Foul Differential Per Game' width='400px' content='Season average of {Called Fouls Against Road Team} - {Called Fouls Against Home Team}. When foul differential is in positive figure, that referee (a.k.a. homey) favors home teams and is more prone to call against road teams.' position='left' tag='a' style='style_33' delay='0' cursor='pointer' event='hover' ]FOUL DIFFERENTIAL[/css3_tooltip]"
2020-2021,,Tony Brown,CHIEF,19,24,0.458,-1.5,228.25,39.667,51.05,48.949,0.8
2020-2021,,Mark Ayotte,CREW,26,25,0.6,3.04,228.16,38.4,51.146,48.854,0.9
2020-2021,,Zach Zarba,CREW,18,25,0.64,3.08,221.48,36.88,48.698,51.302,-1.0
2020-2021,,Robert Hussey,CREW,1,22,0.5,0.182,218.727,37.955,49.94,50.059,0.0
2020-2021,,Tre Maddox,CREW,11,23,0.565,1.391,225.391,38.913,49.944,50.056,0.0
2020-2021,,Dannica Mosher,CREW,1,22,0.545,3.364,216.636,36.045,53.09,46.911,2.2
2020-2021,,David Guthrie,CHIEF,16,22,0.591,2.773,224.136,37.909,49.88,50.12,-0.1
2020-2021,,Matt Boland,CREW,22,23,0.565,1.565,223.391,37.565,51.736,48.264,1.3
2020-2021,,Tom Washington,CHIEF,30,22,0.545,1.5,226.227,38.5,50.649,49.351,0.5
2020-2021,,Eric Lewis,CREW,17,22,0.591,3.955,221.591,37.909,50.48,49.521,0.4
2020-2021,,Brandon Schwab,CREW,1,20,0.55,2.5,223.1,39.4,49.619,50.381,-0.3
2020-2021,,Kane Fitzgerald,CREW,12,21,0.571,-1.333,225.238,39.476,52.473,47.527,2.0
2020-2021,,Kane Fitzgerald,CHIEF,12,20,0.5,-0.85,226.55,41.05,47.99,52.01,-1.7
2020-2021,,Mark Lindsay,CREW,14,21,0.476,-1.667,221.095,38.19,47.133,52.868,-2.2
2020-2021,,Scott Wall,CREW,26,19,0.579,2.263,233.316,40.0,50.789,49.211,0.6
2020-2021,,Matt Boland,CHIEF,22,19,0.526,3.053,219.789,35.526,47.852,52.149,-1.5
2020-2021,,Matt Kallio,CREW,0,18,0.667,4.722,218.5,37.0,48.498,51.502,-1.1
2020-2021,,Bill Kennedy,CREW,26,19,0.684,2.0,223.263,35.895,50.293,49.706,0.2
2020-2021,,Derrick Collins,CREW,22,19,0.632,-0.526,222.842,37.158,50.991,49.008,0.7
2020-2021,,Brian Forte,CHIEF,16,18,0.389,-2.611,211.056,35.944,50.542,49.46,0.4
2020-2021,,John Goble,CREW,14,16,0.75,4.125,228.5,37.938,51.07,48.929,0.8
2020-2021,,Josh Tiven,CHIEF,12,16,0.5,2.5,231.0,40.938,52.06,47.938,1.7
2020-2021,,Courtney Kirkland,CREW,22,17,0.529,-0.824,216.471,36.882,51.835,48.166,1.4
2020-2021,,Tony Brown,CREW,19,15,0.533,1.267,225.533,44.867,51.114,48.885,1.0
2020-2021,,Ed Malloy,CREW,19,15,0.467,2.2,224.733,36.133,51.661,48.34,1.2
2020-2021,,Michael Smith,CREW,28,15,0.8,6.2,226.733,37.933,51.494,48.507,1.1
2020-2021,,Sean Wright,CREW,16,15,0.667,10.333,228.467,39.733,49.833,50.168,-0.1
2020-2021,,Tre Maddox,CHIEF,11,13,0.538,1.077,218.615,39.154,50.687,49.312,0.5
2020-2021,,James Williams,CHIEF,12,13,0.462,-1.923,231.154,40.615,53.41,46.591,2.8
2020-2021,,David Guthrie,CREW,16,14,0.571,-0.286,227.857,37.643,51.992,48.007,1.5
2020-2021,,Bennie Adams,CHIEF,26,14,0.429,-3.357,218.214,36.214,53.452,46.549,2.5
2020-2021,,Kevin Scott,CHIEF,11,12,0.333,-6.083,214.917,38.167,49.563,50.436,-0.3
2020-2021,,Leon Wood,CREW,26,12,0.333,-2.917,218.25,38.333,50.435,49.566,0.3
2020-2021,,Pat Fraher,CHIEF,26,12,0.583,4.0,225.833,38.167,48.69,51.31,-1.0
2020-2021,,Tom Washington,CREW,30,12,0.583,0.833,225.5,38.417,51.41,48.59,1.1
2020-2021,,Marc Davis,CREW,23,10,0.9,8.3,236.9,38.6,48.964,51.036,-0.8
2020-2021,,Ben Taylor,CHIEF,10,10,0.4,-6.8,221.2,42.3,50.118,49.882,0.1
2020-2021,,Kevin Cutler,CHIEF,12,11,0.545,-2.364,219.273,37.727,51.808,48.193,1.4
2020-2021,,Derek Richardson,CREW,26,9,0.778,6.444,230.667,40.444,51.374,48.627,1.1
