Season,RANK,REFEREE,TYPE,EXPERIENCE (YEARS),GAMES OFFICIATED,HOME TEAM WIN%,HOME TEAM POINTS DIFFERENTIAL,TOTAL POINTS PER GAME,CALLED FOULS PER GAME,FOUL% AGAINST ROAD TEAMS,FOUL% AGAINST HOME TEAMS,"[css3_tooltip header='Foul Differential Per Game' width='400px' content='Season average of {Called Fouls Against Road Team} - {Called Fouls Against Home Team}. When foul differential is in positive figure, that referee (a.k.a. homey) favors home teams and is more prone to call against road teams.' position='left' tag='a' style='style_33' delay='0' cursor='pointer' event='hover' ]FOUL DIFFERENTIAL[/css3_tooltip]"
2017-2018,,Ben Taylor,MAIN,6,1,1.0,6.0,202.0,39.0,53.8,46.2,3.0
2017-2018,,Bennie Adams,MAIN,22,35,0.514,1.7,212.9,41.5,49.8,50.2,-0.1
2017-2018,,Bill Kennedy,MAIN,22,31,0.581,2.8,209.6,39.4,51.0,49.0,0.8
2017-2018,,Bill Spooner,MAIN,28,31,0.677,5.2,215.5,39.9,51.3,48.8,1.0
2017-2018,,Brent Barnaky,MAIN,8,5,0.8,8.0,230.8,43.4,49.3,50.7,-0.6
2017-2018,,Brett Nansel,MAIN,3,1,1.0,8.0,234.0,34.0,52.9,47.1,2.0
2017-2018,,Brian Forte,MAIN,12,11,0.545,-4.5,217.4,39.7,52.4,47.6,1.9
2017-2018,,Courtney Kirkland,MAIN,18,24,0.583,1.4,218.4,39.4,50.9,49.1,0.7
2017-2018,,David Guthrie,MAIN,12,13,0.846,10.5,211.8,42.0,50.9,49.1,0.8
2017-2018,,Derek Richardson,MAIN,22,21,0.571,3.0,215.8,40.0,50.7,49.3,0.6
2017-2018,,Derrick Collins,MAIN,18,27,0.593,2.5,219.1,40.2,49.1,50.9,-0.7
2017-2018,,Derrick Stafford,MAIN,29,57,0.491,0.7,209.7,39.4,49.2,50.7,-0.6
2017-2018,,Ed Malloy,MAIN,15,32,0.531,1.2,213.9,36.9,49.5,50.6,-0.4
2017-2018,,Eric Dalen,MAIN,9,1,0.0,-6.0,188.0,43.0,58.1,41.9,7.0
2017-2018,,Eric Lewis,MAIN,13,24,0.583,3.4,219.0,42.0,49.1,50.9,-0.8
2017-2018,,Gary Zielinski,MAIN,22,20,0.7,3.5,205.8,39.9,50.8,49.2,0.6
2017-2018,,Gediminas Petraitis,MAIN,3,1,1.0,5.0,235.0,35.0,48.6,51.4,-1.0
2017-2018,,Haywoode Workman,MAIN,9,2,1.0,8.0,209.0,48.5,53.6,46.4,3.5
2017-2018,,James Capers,MAIN,22,72,0.722,4.3,208.3,41.6,52.0,48.0,1.7
2017-2018,,James Williams,MAIN,8,2,0.5,4.5,221.5,33.5,52.2,47.8,1.5
2017-2018,,Jason Phillips,MAIN,22,15,0.667,3.6,222.0,41.4,50.1,49.9,0.1
2017-2018,,JB DeRosa,MAIN,0,32,0.656,3.3,208.6,36.6,50.9,49.0,0.7
2017-2018,,John Goble,MAIN,10,18,0.667,1.2,213.3,42.8,53.0,47.0,2.6
2017-2018,,Josh Tiven,MAIN,8,3,0.667,-1.7,213.7,45.3,52.2,47.8,2.0
2017-2018,,Kane Fitzgerald,MAIN,8,10,0.5,-3.3,222.5,42.6,49.5,50.5,-0.4
2017-2018,,Ken Mauer,MAIN,29,70,0.543,2.6,212.4,39.5,50.3,49.7,0.2
2017-2018,,Kevin Cutler,MAIN,8,2,0.0,-5.0,199.0,42.5,42.4,57.6,-6.5
2017-2018,,Kevin Scott,MAIN,7,2,0.5,-0.5,198.5,38.5,50.6,49.4,0.5
2017-2018,,Leon Wood,MAIN,22,24,0.417,-2.4,214.7,40.8,50.8,49.1,0.7
2017-2018,,Leroy Richardson,MAIN,22,33,0.667,2.3,214.2,40.7,51.3,48.6,1.1
2017-2018,,Marat Kogut,MAIN,8,4,0.25,1.3,205.8,39.3,49.0,50.9,-0.8
2017-2018,,Marc Davis,MAIN,19,43,0.535,2.7,218.1,38.5,50.9,49.0,0.7
2017-2018,,Mark Ayotte,MAIN,22,24,0.583,4.0,204.3,39.2,50.7,49.2,0.6
2017-2018,,Mark Lindsay,MAIN,10,9,0.556,4.1,212.3,36.9,51.5,48.5,1.1
2017-2018,,Matt Boland,MAIN,18,22,0.364,-5.4,204.6,39.9,48.8,51.3,-1.0
2017-2018,,Michael Smith,MAIN,24,40,0.625,4.0,211.0,40.4,51.5,48.3,1.3
2017-2018,,Mike Callahan,MAIN,27,72,0.569,3.4,210.7,38.9,50.6,49.3,0.5
2017-2018,,Monty McCutchen,MAIN,24,19,0.526,1.4,210.1,40.3,50.4,49.6,0.3
2017-2018,,Nick Buchert,MAIN,8,2,1.0,10.5,197.5,40.0,46.3,53.8,-3.0
2017-2018,,Pat Fraher,MAIN,22,31,0.613,2.4,212.0,37.8,50.4,49.7,0.3
2017-2018,,Rodney Mott,MAIN,22,51,0.569,1.4,212.6,39.0,50.2,49.9,0.1
2017-2018,,Ron Garretson,MAIN,29,55,0.582,5.1,213.9,38.3,51.5,48.7,1.1
2017-2018,,Scott Foster,MAIN,23,61,0.639,2.7,216.3,41.4,50.5,49.6,0.4
2017-2018,,Scott Wall,MAIN,22,30,0.533,-0.6,208.5,37.9,48.9,51.2,-0.9
2017-2018,,Sean Corbin,MAIN,24,53,0.585,2.9,206.9,40.7,51.1,48.9,0.9
2017-2018,,Sean Wright,MAIN,12,19,0.789,7.5,214.0,42.6,52.3,47.8,1.9
2017-2018,,Tom Washington,MAIN,26,44,0.568,0.8,212.0,39.6,52.0,48.0,1.6
2017-2018,,Tony Brothers,MAIN,23,67,0.567,1.4,212.5,40.3,50.7,49.4,0.6
2017-2018,,Tony Brown,MAIN,15,20,0.6,2.3,216.6,38.9,48.7,51.3,-1.0
2017-2018,,Zach Zarba,MAIN,14,26,0.5,-1.5,213.2,38.5,49.8,50.3,-0.2
2017-2018,,Aaron Smith,CREW,2,56,0.625,2.8,211.2,38.6,51.4,48.5,1.1
2017-2018,,Ben Taylor,CREW,6,61,0.639,5.6,214.9,40.8,49.0,50.9,-0.8
2017-2018,,Bennie Adams,CREW,22,30,0.433,-0.9,214.3,42.7,50.6,49.5,0.5
2017-2018,,Bill Kennedy,CREW,22,37,0.595,2.3,211.6,38.5,52.2,47.9,1.7
2017-2018,,Bill Spooner,CREW,28,20,0.5,-1.2,206.5,39.7,50.9,49.1,0.7
2017-2018,,Brandon Adair,CREW,0,6,0.5,2.0,202.7,40.0,50.8,49.2,0.7
2017-2018,,Brent Barnaky,CREW,8,59,0.593,1.9,212.4,39.0,49.3,50.7,-0.5
2017-2018,,Brett Nansel,CREW,3,42,0.571,2.8,212.2,41.3,49.3,50.6,-0.5
2017-2018,,Brian Forte,CREW,12,57,0.596,3.4,210.5,39.7,49.6,50.3,-0.3
2017-2018,,CJ Washington,CREW,3,41,0.61,6.4,212.9,40.1,48.4,51.6,-1.3
2017-2018,,Courtney Kirkland,CREW,18,42,0.571,4.3,211.5,41.1,51.1,48.9,0.9
2017-2018,,Curtis Blair,CREW,9,58,0.569,1.4,208.2,39.0,50.6,49.4,0.5
2017-2018,,David Guthrie,CREW,12,56,0.518,2.2,210.5,39.7,49.2,50.8,-0.6
2017-2018,,Dedric Taylor,CREW,4,61,0.574,2.6,210.7,40.1,50.9,49.0,0.8
2017-2018,,Derek Richardson,CREW,22,35,0.571,-1.0,211.9,37.1,50.1,49.8,0.1
2017-2018,,Derrick Collins,CREW,18,39,0.744,5.4,207.6,38.5,51.1,48.8,0.9
2017-2018,,Derrick Stafford,CREW,29,14,0.5,0.2,207.2,39.1,49.7,50.4,-0.3
2017-2018,,Ed Malloy,CREW,15,38,0.684,6.1,212.6,39.8,50.7,49.2,0.6
2017-2018,,Eric Dalen,CREW,9,25,0.52,1.6,207.2,36.2,49.4,50.5,-0.4
2017-2018,,Eric Lewis,CREW,13,40,0.625,1.8,215.2,40.7,52.3,47.7,1.9
2017-2018,,Gary Zielinski,CREW,22,43,0.651,2.9,214.8,39.2,50.5,49.4,0.4
2017-2018,,Gediminas Petraitis,CREW,3,59,0.627,2.2,217.3,39.4,49.6,50.4,-0.3
2017-2018,,Haywoode Workman,CREW,9,54,0.444,-3.0,214.3,40.2,52.1,48.0,1.6
2017-2018,,JB DeRosa,CREW,0,5,0.8,4.0,214.0,38.2,50.8,49.2,0.6
2017-2018,,J.T. Orr,CREW,8,60,0.583,1.4,212.1,39.8,53.1,46.9,2.5
2017-2018,,Jacyn Goble,CREW,1,50,0.7,6.6,213.5,39.9,51.3,48.7,1.0
2017-2018,,James Williams,CREW,8,61,0.689,3.3,213.8,40.3,49.9,50.0,-0.1
2017-2018,,Jason Goldenberg,CREW,1,39,0.667,4.7,213.5,40.4,51.3,48.8,1.0
2017-2018,,Jason Phillips,CREW,22,27,0.63,2.5,206.5,39.0,50.9,49.1,0.7
2017-2018,,John Goble,CREW,10,50,0.6,3.2,211.8,40.3,49.4,50.5,-0.5
2017-2018,,Jonathan Sterling,CREW,0,41,0.537,-0.1,214.9,40.6,50.5,49.4,0.5
2017-2018,,Josh Tiven,CREW,8,62,0.548,0.6,215.5,39.0,50.8,49.1,0.7
2017-2018,,Justin Van Duyne,CREW,4,55,0.545,1.3,210.6,40.3,50.8,49.4,0.6
2017-2018,,Kane Fitzgerald,CREW,8,53,0.585,1.8,207.9,41.0,50.2,49.8,0.1
2017-2018,,Karl Lane,CREW,7,63,0.571,2.3,213.6,40.8,50.7,49.2,0.6
2017-2018,,Ken Mauer,CREW,29,2,1.0,6.5,203.5,34.0,45.6,54.4,-3.0
2017-2018,,Kevin Cutler,CREW,8,61,0.541,1.6,213.2,37.9,52.2,47.7,1.7
2017-2018,,Kevin Scott,CREW,7,59,0.525,1.1,216.4,39.4,50.3,49.6,0.3
2017-2018,,Lauren Holtkamp,CREW,5,55,0.545,0.6,215.0,40.2,50.0,49.9,0.1
2017-2018,,Leon Wood,CREW,22,34,0.618,3.6,208.7,37.3,52.0,48.0,1.5
2017-2018,,Leroy Richardson,CREW,22,25,0.56,2.0,210.8,39.2,51.6,48.3,1.3
2017-2018,,Marat Kogut,CREW,8,59,0.492,0.5,216.1,41.0,50.2,49.8,0.2
2017-2018,,Marc Davis,CREW,19,30,0.6,4.4,211.8,39.1,49.4,50.7,-0.5
2017-2018,,Mark Ayotte,CREW,22,44,0.636,5.8,215.0,40.1,49.9,50.2,-0.1
2017-2018,,Mark Lindsay,CREW,10,55,0.491,1.3,207.4,38.2,50.1,49.8,0.1
2017-2018,,Matt Boland,CREW,18,39,0.615,2.0,210.7,40.9,50.2,50.0,0.1
2017-2018,,Matt Myers,CREW,6,3,0.333,-6.0,195.3,34.3,46.6,53.4,-2.3
2017-2018,,Michael Smith,CREW,24,20,0.5,-0.4,216.0,42.9,52.0,47.9,1.8
2017-2018,,Mike Callahan,CREW,27,1,1.0,11.0,183.0,35.0,54.3,45.7,3.0
2017-2018,,Mitchell Ervin,CREW,3,47,0.66,2.2,211.8,42.0,52.0,48.0,1.7
2017-2018,,Nick Buchert,CREW,8,60,0.667,2.8,222.1,42.5,52.0,48.0,1.7
2017-2018,,Pat Fraher,CREW,22,37,0.541,2.4,208.9,37.2,50.7,49.3,0.5
2017-2018,,Phenizee Ransom,CREW,1,7,0.429,1.9,194.7,36.7,51.8,48.3,1.3
2017-2018,,Randy Richardson,CREW,0,6,0.5,2.5,209.2,35.0,45.7,54.3,-3.0
2017-2018,,Ray Acosta,CREW,0,34,0.647,1.9,214.8,39.9,50.9,49.1,0.7
2017-2018,,Rodney Mott,CREW,22,11,0.455,1.6,207.6,38.9,49.8,50.2,-0.2
2017-2018,,Ron Garretson,CREW,29,8,0.5,2.0,216.0,36.6,50.2,49.9,0.1
2017-2018,,Sean Corbin,CREW,24,4,0.75,8.8,201.8,40.5,52.5,47.5,2.0
2017-2018,,Scott Foster,CREW,23,13,0.538,0.5,209.6,44.4,51.8,48.2,1.6
2017-2018,,Scott Twardoski,CREW,8,59,0.61,2.6,215.3,39.3,51.1,48.9,0.9
2017-2018,,Scott Wall,CREW,22,31,0.516,1.9,210.1,39.4,47.8,52.2,-1.7
2017-2018,,Sean Wright,CREW,12,43,0.628,2.2,213.3,40.0,47.8,52.1,-1.7
2017-2018,,Tom Washington,CREW,26,24,0.833,6.7,212.0,39.0,50.4,49.7,0.3
2017-2018,,Tony Brothers,CREW,23,1,1.0,5.0,235.0,35.0,48.6,51.4,-1.0
2017-2018,,Tony Brown,CREW,15,46,0.63,2.7,207.5,41.3,52.3,47.6,1.9
2017-2018,,Tre Maddox,CREW,7,56,0.554,2.7,213.7,39.9,50.4,49.7,0.3
2017-2018,,Tyler Ford,CREW,3,59,0.61,3.0,213.3,41.3,51.4,48.5,1.2
2017-2018,,Vladimir Voyard-Tadal,CREW,1,8,0.625,7.3,217.0,42.6,51.9,48.1,1.6
2017-2018,,Zach Zarba,CREW,14,44,0.455,-0.5,211.9,38.4,52.3,47.8,1.7
