Season,RANK,REFEREE,ROLE,GENDER,EXPERIENCE (YEARS),GAMES OFFICIATED,HOME TEAM WIN%,HOME TEAM POINTS DIFFERENTIAL,TOTAL POINTS PER GAME,CALLED FOULS PER GAME,FOUL% AGAINST ROAD TEAMS,FOUL% AGAINST HOME TEAMS,FOUL DIFFERENTIAL (Against Road Team) - (Against Home Team)
2022-2023,,Leon Wood,CREW,MALE,28,11,0.727,7.3,222.4,40.9,0.511,0.489,0.9
2022-2023,,Marat Kogut,CREW,MALE,14,38,0.5,-1.2,225.7,41.5,0.512,0.489,0.9
2022-2023,,Marat Kogut,CHIEF,MALE,14,6,0.833,7.2,221.2,40.7,0.512,0.487,1.0
2022-2023,,Marc Davis,CHIEF,MALE,25,43,0.651,5.6,227.6,37.6,0.512,0.487,0.9
2022-2023,,Marc Davis,CREW,MALE,25,18,0.722,4.6,226.7,38.2,0.486,0.515,-1.1
2022-2023,,Mark Lindsay,CHIEF,MALE,16,20,0.55,0.3,230.8,38.4,0.499,0.501,-0.1
2022-2023,,Mark Lindsay,CREW,MALE,16,14,0.571,1.0,235.3,39.1,0.513,0.486,1.1
2022-2023,,Matt Boland,CREW,MALE,24,29,0.586,1.6,225.5,42.4,0.494,0.506,-0.5
2022-2023,,Matt Boland,CHIEF,MALE,24,24,0.542,-1.1,232.5,40.8,0.487,0.514,-1.1
2022-2023,,Matt Kallio,CREW,MALE,2,31,0.419,-0.8,233.6,40.1,0.512,0.489,0.9
2022-2023,,Matt Myers,CREW,MALE,12,52,0.577,2.3,229.5,41.3,0.493,0.507,-0.6
2022-2023,,Michael Smith,CHIEF,MALE,30,46,0.717,5.4,229.0,40.0,0.51,0.491,0.8
2022-2023,,Michael Smith,CREW,MALE,30,9,0.667,1.2,229.7,42.2,0.553,0.448,4.4
2022-2023,,Mitchell Ervin,CREW,MALE,9,60,0.617,4.6,233.9,42.5,0.501,0.498,0.1
2022-2023,,Mitchell Ervin,CHIEF,MALE,9,5,0.4,-4.6,232.6,39.6,0.551,0.449,4.0
