GAME_ID,TEAM_ABBREVIATION,PF
0021700147,BKN,30
0021700146,ATL,22
0021700146,BOS,21
0021700148,GSW,21
0021700147,PHX,29
0021700154,LAC,19
0021700149,MIL,31
0021700155,BKN,16
0021700152,NYK,19
0021700150,IND,21
0021700156,PHI,34
0021700149,CLE,16
0021700150,NOP,18
0021700153,CHI,23
0021700151,DAL,23
0021700155,DEN,21
0021700157,POR,18
0021700158,SAC,24
0021700154,SAS,21
0021700158,OKC,17
0021700153,TOR,22
0021700156,UTA,23
0021700157,MEM,21
0021700151,WAS,19
0021700152,CHA,22
0021700161,LAL,30
0021700162,MIA,25
0021700163,MIN,14
0021700160,NYK,21
0021700160,ORL,15
0021700159,IND,24
0021700161,BOS,20
0021700163,GSW,23
0021700162,PHX,29
0021700159,DET,22
0021700166,HOU,27
0021700164,LAL,19
0021700167,PHI,28
0021700166,CLE,30
0021700165,NOP,20
0021700168,DEN,15
0021700167,SAC,19
0021700168,OKC,23
0021700165,TOR,24
0021700164,WAS,31
0021700172,LAC,30
0021700175,MIA,20
0021700173,MIL,13
0021700176,BKN,13
0021700174,ORL,20
0021700171,IND,17
0021700169,ATL,21
0021700170,BOS,26
0021700171,CHI,13
0021700174,PHX,29
0021700176,POR,17
0021700173,SAS,15
0021700172,OKC,29
0021700175,UTA,20
0021700169,DET,18
0021700170,CHA,21
0021700180,HOU,19
0021700178,LAC,24
0021700182,LAL,22
0021700182,MIL,27
0021700186,MIN,21
0021700187,BKN,22
0021700179,NYK,22
0021700185,ORL,19
0021700184,PHI,19
0021700177,ATL,23
0021700181,CLE,18
0021700178,NOP,19
0021700183,CHI,15
0021700181,DAL,26
0021700185,DEN,16
0021700184,GSW,23
0021700186,PHX,25
0021700179,SAC,18
0021700183,SAS,16
0021700187,UTA,29
0021700180,MEM,20
0021700177,WAS,22
0021700190,HOU,20
0021700189,MIA,22
0021700190,IND,15
0021700188,BOS,18
0021700191,DAL,20
0021700191,OKC,23
0021700188,TOR,20
0021700189,DET,17
0021700200,LAC,26
0021700196,LAL,20
0021700194,MIL,19
0021700197,MIN,13
0021700193,NYK,21
0021700199,ORL,18
0021700200,PHI,26
0021700195,ATL,18
0021700193,CLE,21
0021700195,NOP,13
0021700198,DEN,16
0021700199,GSW,21
0021700196,PHX,17
0021700198,POR,18
0021700192,SAC,15
0021700197,UTA,23
0021700194,MEM,25
0021700192,WAS,21
0021700202,HOU,27
0021700201,BKN,24
0021700201,BOS,14
0021700203,DAL,23
0021700203,SAS,16
0021700202,TOR,30
0021700214,LAL,23
0021700205,MIA,20
0021700209,MIL,19
0021700210,MIN,16
0021700206,NYK,19
0021700213,ORL,16
0021700208,IND,17
0021700214,PHI,19
0021700204,ATL,23
0021700207,CLE,24
0021700211,NOP,21
0021700212,CHI,27
0021700213,POR,10
0021700204,SAC,19
0021700210,SAS,18
0021700212,OKC,19
0021700211,TOR,20
0021700206,UTA,23
0021700208,MEM,19
0021700205,WAS,19
0021700209,DET,20
0021700207,CHA,19
0021700216,HOU,20
0021700215,BOS,15
0021700215,GSW,24
0021700216,PHX,22
0021700220,LAC,26
0021700227,LAL,20
0021700218,MIA,19
0021700224,MIN,18
0021700219,BKN,21
0021700221,NYK,12
0021700217,IND,13
0021700220,CLE,20
0021700226,NOP,19
0021700222,CHI,23
0021700224,DAL,20
0021700226,DEN,15
0021700227,PHX,22
0021700225,POR,20
0021700225,SAC,22
0021700223,SAS,18
0021700223,OKC,22
0021700221,TOR,19
0021700219,UTA,19
0021700218,WAS,17
0021700217,DET,18
0021700222,CHA,15
0021700232,HOU,24
0021700228,LAC,22
0021700233,MIL,25
0021700229,ORL,20
0021700231,PHI,22
0021700230,ATL,19
0021700230,BOS,22
0021700233,DAL,26
0021700231,GSW,18
0021700234,POR,22
0021700234,SAC,24
0021700229,UTA,19
0021700232,MEM,18
0021700228,CHA,16
0021700240,LAL,27
0021700235,MIA,11
0021700238,MIN,20
0021700236,BKN,21
0021700235,IND,14
0021700239,CHI,21
0021700240,DEN,15
0021700236,GSW,27
0021700239,PHX,16
0021700237,TOR,19
0021700237,WAS,12
0021700238,DET,21
0021700245,LAC,23
0021700247,MIL,19
0021700241,MIN,21
0021700245,NYK,26
0021700243,ORL,20
0021700243,IND,25
0021700244,PHI,18
0021700250,ATL,15
0021700249,BOS,24
0021700242,CLE,14
0021700248,NOP,22
0021700249,DAL,22
0021700251,DEN,13
0021700246,POR,23
0021700251,SAC,19
0021700250,SAS,17
0021700248,OKC,25
0021700244,UTA,19
0021700246,MEM,26
0021700247,WAS,18
0021700242,DET,19
0021700241,CHA,18
0021700252,LAL,16
0021700252,CHI,19
0021700259,HOU,22
0021700256,LAC,15
0021700266,LAL,19
0021700257,MIA,22
0021700264,MIL,30
0021700261,MIN,17
0021700254,BKN,21
0021700258,NYK,19
0021700261,ORL,31
0021700255,PHI,21
0021700256,ATL,20
0021700257,BOS,19
0021700254,CLE,19
0021700262,NOP,18
0021700265,CHI,21
0021700260,DAL,14
0021700259,DEN,14
0021700263,GSW,20
0021700264,PHX,26
0021700255,POR,17
0021700266,SAC,20
0021700262,SAS,23
0021700263,OKC,21
0021700258,TOR,23
0021700265,UTA,15
0021700260,MEM,25
0021700253,WAS,29
0021700253,CHA,20
0021700272,MIA,24
0021700272,MIN,16
0021700267,BKN,22
0021700268,NYK,19
0021700269,ORL,16
0021700271,IND,18
0021700268,ATL,16
0021700269,BOS,20
0021700270,CLE,24
0021700275,NOP,18
0021700276,CHI,17
0021700274,DEN,18
0021700276,GSW,15
0021700275,PHX,18
0021700267,POR,16
0021700273,OKC,12
0021700271,TOR,20
0021700274,MEM,21
0021700273,DET,17
0021700270,CHA,17
0021700282,HOU,15
0021700286,LAC,13
0021700285,MIL,21
0021700282,NYK,20
0021700278,ORL,17
0021700281,IND,14
0021700278,PHI,22
0021700280,ATL,15
0021700281,BOS,13
0021700284,NOP,24
0021700283,DAL,18
0021700284,GSW,24
0021700279,POR,16
0021700286,SAC,17
0021700277,SAS,19
0021700283,OKC,15
0021700280,TOR,22
0021700285,UTA,19
0021700279,WAS,17
0021700277,CHA,19
0021700287,MIA,14
0021700288,MIN,14
0021700289,BKN,22
0021700287,CHI,18
0021700288,PHX,20
0021700289,MEM,24
0021700294,HOU,19
0021700297,LAC,22
0021700297,LAL,29
0021700294,BKN,19
0021700293,NYK,20
0021700290,ORL,23
0021700290,IND,18
0021700291,PHI,18
0021700292,BOS,23
0021700291,CLE,21
0021700295,DAL,19
0021700296,GSW,15
0021700293,POR,22
0021700296,SAC,15
0021700295,SAS,16
0021700292,DET,19
0021700298,MIA,19
0021700302,MIL,22
0021700300,MIN,17
0021700298,CLE,17
0021700299,CHI,20
0021700301,DEN,13
0021700299,PHX,12
0021700302,SAC,21
0021700301,UTA,20
0021700300,WAS,16
0021700308,HOU,10
0021700312,LAL,23
0021700306,MIA,20
0021700309,MIN,14
0021700310,BKN,21
0021700306,NYK,20
0021700304,ORL,22
0021700308,IND,17
0021700305,PHI,27
0021700309,NOP,17
0021700310,DAL,23
0021700312,GSW,19
0021700303,PHX,19
0021700311,SAS,17
0021700304,OKC,20
0021700307,TOR,23
0021700311,MEM,19
0021700305,WAS,42
0021700303,DET,22
0021700307,CHA,17
0021700317,LAC,16
0021700316,MIL,20
0021700314,PHI,22
0021700313,ATL,20
0021700314,BOS,20
0021700313,CLE,20
0021700315,CHI,27
